v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.000000	0.000000	∞	0.000000	0.000000	-0.00	59.26	0.00	0.00	2200	0.00	0.000	0.0000
0.020	0.006	-0.004086	0.000990	0.079788	-9.999999	9.999999	0.00	NaN	18.00	1.88	2200	6.62	-0.290	0.0287
0.040	0.013	-0.004239	0.000974	0.160090	-6.746958	9.999999	0.00	NaN	18.00	3.76	2200	6.51	-0.301	0.0283
0.060	0.019	-0.004456	0.000966	0.240545	-3.151717	9.999999	0.00	NaN	18.00	5.64	2200	6.46	-0.317	0.0280
0.080	0.025	-0.004889	0.000975	0.320098	-1.945101	4.849587	0.00	NaN	18.00	7.53	2200	6.52	-0.348	0.0283
0.100	0.032	-0.005124	0.000962	0.401201	-1.304920	2.449787	0.00	NaN	18.00	9.41	2200	6.43	-0.364	0.0279
0.120	0.038	-0.005372	0.000935	0.484166	-0.949938	1.378263	0.00	99.99	18.00	11.29	2200	6.26	-0.382	0.0272
0.140	0.045	-0.005787	0.000915	0.567383	-0.751879	0.848819	0.00	99.99	18.00	13.17	2200	6.12	-0.411	0.0266
0.160	0.051	-0.006213	0.000887	0.652452	-0.617999	0.551364	0.00	99.99	18.00	15.05	2200	5.93	-0.442	0.0257
0.180	0.057	-0.006880	0.000871	0.736656	-0.540730	0.380331	0.00	99.99	18.00	16.93	2200	5.83	-0.489	0.0253
0.200	0.064	-0.007346	0.000809	0.830637	-0.467668	0.257599	0.00	99.99	18.00	18.81	2200	5.41	-0.522	0.0235
0.220	0.070	-0.008111	0.000759	0.925419	-0.426724	0.181590	0.00	99.99	18.00	20.69	2200	5.08	-0.577	0.0220
0.240	0.076	-0.008970	0.000685	1.030423	-0.396579	0.126266	0.00	99.99	18.00	22.58	2200	4.58	-0.638	0.0199
0.260	0.083	-0.009844	0.000672	1.120803	-0.370817	0.097329	0.00	99.99	18.00	24.46	2200	4.49	-0.700	0.0195
0.280	0.089	-0.011033	0.000792	1.168016	-0.358363	0.091836	0.00	99.99	20.00	26.34	2200	5.29	-0.784	0.0230
0.300	0.095	-0.012168	0.001187	1.154061	-0.344276	0.111954	0.00	99.99	25.00	28.22	2200	7.94	-0.865	0.0345
