v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.104450	0.031173	0.000063	9.999999	9.999999	0.01	0.01	0.00 !	0.00	2200	208.49	7.427	0.9050
0.050	0.016	0.111236	0.027837	0.102340	9.999999	9.999999	19.98	16.86	0.00 !	4.70	2200	186.18	7.909	0.8081
0.100	0.032	0.082081	0.031964	0.199098	9.999999	9.999999	25.68	34.84	0.00 !	9.41	2200	213.78	5.836	0.9279
0.150	0.048	0.074607	0.031075	0.300338	8.443838	9.999999	36.01	48.63	0.00 !	14.11	2200	207.83	5.305	0.9021
0.200	0.064	0.066226	0.029519	0.404584	4.216085	9.396258	44.87	60.38	0.00	18.81	2200	197.43	4.709	0.8570
0.250	0.080	0.058340	0.027864	0.511601	2.376974	4.541144	52.34	69.95	0.00	23.52	2200	186.36	4.148	0.8089
0.300	0.095	0.050000	0.025738	0.623743	1.414712	2.427478	58.28	77.81	0.00	28.22	2200	172.14	3.555	0.7472
0.350	0.111	0.041000	0.023016	0.744152	0.852281	1.366997	62.35	84.26	0.00	32.92	2200	153.93	2.915	0.6682
0.400	0.127	0.031503	0.019672	0.877584	0.501393	0.782736	64.06	89.51	0.00	37.63	2200	131.57	2.240	0.5711
0.450	0.143	0.021527	0.015844	1.030958	0.270709	0.442752	61.14	93.76	0.00	42.33	2200	105.97	1.531	0.4600
0.460	0.146	0.019515	0.014976	1.065811	0.234845	0.391790	59.94	94.49	1.00	43.27	2200	100.16	1.388	0.4348
0.470	0.150	0.017498	0.014085	1.102412	0.201714	0.345475	58.39	95.19	1.00	44.21	2200	94.21	1.244	0.4089
0.480	0.153	0.015471	0.013170	1.141099	0.170997	0.303253	56.39	95.86	1.00	45.15	2200	88.08	1.100	0.3823
0.490	0.156	0.013386	0.012273	1.181416	0.141974	0.265655	53.44	96.52	1.00	46.09	2200	82.09	0.952	0.3563
0.500	0.159	0.011301	0.011290	1.225825	0.115107	0.230005	50.05	97.14	1.00	47.03	2200	75.51	0.803	0.3278
0.510	0.162	0.009197	0.010277	1.274079	0.090045	0.197287	45.64	97.73	1.00	47.97	2200	68.73	0.654	0.2983
0.520	0.166	0.007114	0.009251	1.326679	0.066993	0.167540	39.99	98.29	1.00	48.91	2200	61.87	0.506	0.2686
0.530	0.169	0.004787	0.008512	1.374885	0.043394	0.145599	29.80	98.88	1.00	49.85	2200	56.93	0.340	0.2471
0.540	0.172	0.002634	0.007418	1.439930	0.022998	0.119956	19.17	99.40	4.00	50.79	2200	49.61	0.187	0.2153
0.550	0.175	0.000464	0.006292	1.515672	0.003906	0.096303	4.06	99.90	4.00	51.74	2200	42.08	0.033	0.1827
0.560	0.178	-0.001731	0.005130	1.607561	-0.014058	0.074384	0.00	99.99	4.00	52.68	2200	34.31	-0.123	0.1489
0.570	0.181	-0.003926	0.003945	1.724472	-0.030771	0.054251	0.00	99.99	4.00	53.62	2200	26.39	-0.279	0.1145
0.580	0.185	-0.006132	0.002732	1.888522	-0.046420	0.035660	0.00	99.99	4.00	54.56	2200	18.27	-0.436	0.0793
0.590	0.188	-0.008379	0.001473	2.173742	-0.061292	0.018264	0.00	99.99	4.00	55.50	2200	9.85	-0.596	0.0428
0.600	0.191	-0.010596	0.000286	3.067397	-0.074952	0.003376	0.00	99.99	4.00	56.44	2200	1.92	-0.753	0.0083
0.610	0.194	-0.013136	-0.000399	2.918413	-0.089894	-0.004476	0.45	56.86	4.00	57.38	2200	-2.67	-0.934	-0.0116
