# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
9
BLANK_GEOMS,2
# Name, xLoc, yLoc, zLoc, Mass, GeomID
PropellerWeight,-18.528805,0.000000,0.779014,135.000000,ABQPEAUUHI
EngineWeight,-13.028805,0.000000,0.629014,289.000000,AREVMRZCAD
# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,TPMBBMLWPQ,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -1.788043478260869534e+01, 0.000000000000000000e+00, 7.608695652173906865e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,34,17
# x,y,z,u,w
-1.788043478260869534e+01, 9.209054612944533869e-01, 7.608695652173906865e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
-1.788043478260869534e+01, 8.484882648740516009e-01, 4.025552411695624833e-01, 1.000000000000000000e+00, 2.500000000000000000e-01
-1.788043478260869534e+01, 6.510508157321777123e-01, 1.098187494852129742e-01, 1.000000000000000000e+00, 5.000000000000000000e-01
-1.788043478260869534e+01, 3.583143240478282032e-01, -8.761869965666095605e-02, 1.000000000000000000e+00, 7.500000000000000000e-01
-1.788043478260869534e+01, 0.000000000000000000e+00, -1.600358960770627004e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.788043478260869534e+01, -3.583143240478282032e-01, -8.761869965666095605e-02, 1.000000000000000000e+00, 1.250000000000000000e+00
-1.788043478260869534e+01, -6.510508157321777123e-01, 1.098187494852129742e-01, 1.000000000000000000e+00, 1.500000000000000000e+00
-1.788043478260869534e+01, -8.484882648740516009e-01, 4.025552411695624833e-01, 1.000000000000000000e+00, 1.750000000000000000e+00
-1.788043478260869534e+01, -9.209054612944533869e-01, 7.608695652173906865e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
-1.788043478260869534e+01, -8.484882648740516009e-01, 1.119183889265218834e+00, 1.000000000000000000e+00, 2.250000000000000000e+00
-1.788043478260869534e+01, -6.510508157321777123e-01, 1.411920380949568399e+00, 1.000000000000000000e+00, 2.500000000000000000e+00
-1.788043478260869534e+01, -3.583143240478282587e-01, 1.609357830091442398e+00, 1.000000000000000000e+00, 2.750000000000000000e+00
-1.788043478260869534e+01, 0.000000000000000000e+00, 1.681775026511844073e+00, 1.000000000000000000e+00, 3.000000000000000000e+00
-1.788043478260869534e+01, 3.583143240478282032e-01, 1.609357830091442398e+00, 1.000000000000000000e+00, 3.250000000000000000e+00
-1.788043478260869534e+01, 6.510508157321777123e-01, 1.411920380949568399e+00, 1.000000000000000000e+00, 3.500000000000000000e+00
-1.788043478260869534e+01, 8.484882648740516009e-01, 1.119183889265218834e+00, 1.000000000000000000e+00, 3.750000000000000000e+00
-1.788043478260869534e+01, 9.209054612944533869e-01, 7.608695652173906865e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
-1.705340775558167010e+01, 1.000000000000000000e+00, 7.608695652173906865e-01, 2.000000000000000000e+00, 0.000000000000000000e+00
-1.705340775558166655e+01, 9.213630503193999122e-01, 3.717804142591908390e-01, 2.000000000000000000e+00, 2.500000000000000000e-01
-1.705340775558166655e+01, 7.069681341850664325e-01, 5.390143103232425403e-02, 2.000000000000000000e+00, 5.000000000000000000e-01
-1.705340775558166655e+01, 3.890891509581997365e-01, -1.604934851020092257e-01, 2.000000000000000000e+00, 7.500000000000000000e-01
-1.705340775558166655e+01, 0.000000000000000000e+00, -2.391304347826093135e-01, 2.000000000000000000e+00, 1.000000000000000000e+00
-1.705340775558166655e+01, -3.890891509581998475e-01, -1.604934851020092257e-01, 2.000000000000000000e+00, 1.250000000000000000e+00
-1.705340775558166655e+01, -7.069681341850665435e-01, 5.390143103232425403e-02, 2.000000000000000000e+00, 1.500000000000000000e+00
-1.705340775558166655e+01, -9.213630503193999122e-01, 3.717804142591908390e-01, 2.000000000000000000e+00, 1.750000000000000000e+00
-1.705340775558166655e+01, -1.000000000000000000e+00, 7.608695652173906865e-01, 2.000000000000000000e+00, 2.000000000000000000e+00
-1.705340775558166655e+01, -9.213630503193999122e-01, 1.149958716175590423e+00, 2.000000000000000000e+00, 2.250000000000000000e+00
