WARNING: 2 open meshes merged
     Merged: Wing
     Merged: Hstab
...Mass Properties...
9 Num Comps
7 Total Num Meshes
6840 Total Num Tris

2802.241459             Total Mass
-2.809379 -0.000042 2.200430       Center of Gravity
294266.034811 231367.551649 508801.677104       Ixx, Iyy, Izz
-2.256170 8445.463522 0.028704       Ixy, Ixz, Iyz
687.833893             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuselage	919.372635	-1.018655	-0.000000	0.862958	4442.504060	75406.466659	75426.956447	-0.000000	299.846958	-0.000000	471.752094
Wing	1232.680598	-3.421418	0.000000	3.530794	280336.758164	4269.433992	284306.245413	0.000000	-259.218257	-0.000000	174.106961
Hstab	137.969622	16.950996	-0.001595	1.943357	3371.533927	208.510013	3571.991168	0.164666	-7.456969	-0.004491	20.504301
LeftHstabVstab	0.462323	16.053024	-7.843115	1.971383	0.067537	0.423844	0.360284	0.000628	-0.008303	0.000032	0.462323
RightHstabVstab	0.463172	16.053423	8.048941	1.971364	0.067573	0.424303	0.360717	0.000611	-0.008322	0.000035	0.463172
DorsalFin	87.293108	13.685091	0.000000	5.309855	390.810966	913.558731	534.428124	-0.000000	188.221727	0.000000	19.167925
Spinner	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.377116
PropellerWeight	135.000000	-18.528805	0.000000	0.779014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
EngineWeight	289.000000	-13.028805	0.000000	0.629014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	2802.241459	-2.809379	-0.000042	2.200430	294266.034811	231367.551649	508801.677104	-2.256170	8445.463522	0.028704	687.833893
