...Slice...
1 Num Comps
12 Total Num Meshes
2195 Total Num Tris
1.00000 0.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
  -19.700   -19.700    -8.670     1.804   676.482
  -18.926   -18.926     6.962     0.722    14.961
  -18.152   -18.152    -8.529     1.641    33.646
  -17.378     0.000     0.000     0.000     0.000
  -16.604     0.000     0.000     0.000     0.000
  -15.830   -15.830     8.717     2.807    73.680
  -15.055   -15.055     8.504     2.688    76.942
  -14.281     0.000     0.000     0.000     0.000
  -13.507     0.000     0.000     0.000     0.000
  -12.733   -12.733     0.552    -2.225     2.312
  -11.959   -11.959     0.505    -2.293     3.224
  -11.185     0.000     0.000     0.000     0.000
  -10.411     0.000     0.000     0.000     0.000
   -9.637     0.000     0.000     0.000     0.000
   -8.863    -8.863     0.047    -0.376     0.000
   -8.089    -8.089    -0.758     1.238     0.078
   -7.314    -7.314     0.399    -2.741    10.849
   -6.540    -6.540     0.285     1.431     1.409
   -5.766    -5.766    -0.421     0.754    32.655
   -4.992    -4.992    -0.031     1.583    26.986
   -4.218    -4.218    -0.202     0.676    25.663
   -3.444    -3.444    -0.051     0.657    29.469
   -2.670    -2.670    -0.006     0.141    18.613
   -1.896    -1.896    -0.055    -1.485     7.794
   -1.122    -1.122    -0.029    -1.672     7.571
   -0.347    -0.347     0.040    -1.908     6.388
    0.427     0.427     0.000    -2.032     6.735
    1.201     1.201    -0.073    -2.197     4.502
    1.975     1.975     0.000    -2.215     6.473
    2.749     2.749     0.033    -2.339     6.126
    3.523     3.523     0.049    -2.398     5.541
    4.297     4.297    -8.661    -2.267    62.371
    5.071     5.071    -8.665    -2.299    61.423
    5.845     5.845    -0.016    -2.563     4.269
    6.619     6.619    -0.642    -2.566     1.752
    7.394     7.394    -0.060    -2.605     3.042
    8.168     8.168    -8.227    -1.787    30.989
    8.942     8.942    -0.020    -2.782     2.844
    9.716     9.716    -8.058    -1.828    29.291
   10.490    10.490    -8.070    -1.864    28.099
   11.264    11.264    -0.030    -2.560     3.576
   12.038    12.038    -0.021    -2.628     3.297
   12.812    12.812     0.026    -2.622     2.867
   13.586    13.586    -0.001    -2.713     2.417
   14.361    14.361     0.010    -2.629     1.586
   15.135    15.135     0.003    -2.390     4.433
   15.909    15.909     0.070    -2.493     3.692
   16.683    16.683    -0.176    -2.596     2.925
   17.457    17.457    -0.878    -2.614     1.228
   18.231     0.000     0.000     0.000     0.000
   19.005     0.000     0.000     0.000     0.000
